Gene	AS_event_ID	chromosome	strand	common_3_SS_coor	A5SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
so	chr2R_+_7426239_7433612_7433719	chr2R	+	7433719	7426239;7433612	7.54081495038132e-08	3.13856558944914e-07	-0.4753;0.4753
didum	chr2R_+_7504707_7504715_7504773	chr2R	+	7504773	7504707;7504715	0.0244645213234015	0.045846822528014	0.00423333333333333;-0.00423333333333331
Cyt-b5	chr2R_+_7520898_7533730_7535330	chr2R	+	7535330	7520898;7533730	9.49764698529744e-63	4.58579604557743e-61	-0.0771666666666667;0.0771666666666665
CG43340	chr2R_+_7623293_7624509_7626489	chr2R	+	7626489	7623293;7624509	0.016396627635499	0.0318320460300308	-0.2107;0.2107
CG43340	chr2R_+_7627172_7630328_7634214	chr2R	+	7634214	7627172;7630328	0.00522143859732115	0.0111099534192089	0.1872;-0.1872
puml	chr2R_+_7812691_7812992_7813197_7813279	chr2R	+	7813279	7812691;7812992;7813197	5.06395177713922e-81	3.36962417230068e-79	-0.0431333333333333;-0.353066666666667;0.396166666666667
Cul1	chr2R_+_7917108_7917311_7917334_7917730	chr2R	+	7917730	7917108;7917311;7917334	5.62231968868496e-05	0.000161636465635517	-0.0781666666666666;0.0212666666666667;0.0569
Odc2	chr2R_+_8007533_8007709_8007786	chr2R	+	8007786	8007533;8007709	0.000407122219127793	0.00103551359463258	-0.196066666666667;0.196066666666667
lig	chr2R_+_8067565_8068011_8068080_8068282_8068366_8068834_8069812_8069869	chr2R	+	8069869	8067565;8068011;8068080;8068282;8068366;8068834;8069812	1.69258853642268e-26	2.7460703830208e-25	0.3627;-0.0754;-0.0764;-0.0427333333333333;-0.0899333333333333;-0.152233333333333;0.0739666666666667
CG14759	chr2R_+_8259502_8259909_8259994	chr2R	+	8259994	8259502;8259909	2.71699188686407e-06	9.33531215001492e-06	-0.353766666666667;0.353766666666667
Cirl	chr2R_+_8615249_8615263_8615405	chr2R	+	8615405	8615249;8615263	0.0356927510028331	0.0645188922796046	-0.0561333333333333;0.0561333333333333
ptc	chr2R_+_8647944_8650550_8659950	chr2R	+	8659950	8647944;8650550	6.76861834135939e-09	3.17251126818543e-08	-0.243266666666667;0.243266666666667
Acsl	chr2R_+_8674871_8675708_8676334_8676470	chr2R	+	8676470	8674871;8675708;8676334	5.0800144062618e-24	7.31743033646232e-23	-0.242666666666667;0.253933333333333;-0.0113
