Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.U2af381	raw_count.U2af382	raw_count.U2af383	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.U2af381	percentage_usage.U2af382	percentage_usage.U2af383	deltaPSI
so	chr2R_+_7426239_7433612_7433719	3_Junction_100241_Junction_100256	J001	0.0249489690773539	28.9205622231152	7.54081495038132e-08	3.13856558944914e-07	1.06451976938219	1.10931591560708	0.162085115058195	chr2R	7426239	7433719	7481	+	10	14	11	4	15	15	50.00%	66.67%	40.74%	100.00%	100.00%	100.00%	-0.4753
so	chr2R_+_7426239_7433612_7433719	3_Junction_100241_Junction_100256	J002	0.0315657957833924	28.0695071652288	1.1703543497832e-07	4.75777377521548e-07	1.0352413013527	0.00053223946003426	-12.9709324959168	chr2R	7433612	7433719	108	+	10	7	16	0	0	0	50.00%	33.33%	59.26%	0.00%	0.00%	0.00%	0.4753
didum	chr2R_+_7504707_7504715_7504773	3_Junction_100679_Junction_100680	J001	0.0458480405095492	4.95240481089358	0.026054402807044	0.0485471097054824	0.572245133219561	0.000468701575811461	-11.3063442349741	chr2R	7504707	7504773	67	+	5	9	6	0	0	0	0.32%	0.68%	0.27%	0.00%	0.00%	0.00%	0.00423333333333333
didum	chr2R_+_7504707_7504715_7504773	3_Junction_100679_Junction_100680	J002	0.0336620060235072	5.06139619300383	0.0244645213234015	0.045846822528014	2.83151983627095	2.83799095331207	0.0215280813997332	chr2R	7504715	7504773	59	+	1560	1305	2194	279	323	283	99.68%	99.32%	99.73%	100.00%	100.00%	100.00%	-0.00423333333333331
Cyt-b5	chr2R_+_7520898_7533730_7535330	3_Junction_100767_Junction_100799	J001	0.00137872458348383	275.22669292448	8.23785060480098e-62	3.89857710527703e-60	0.000288998635647308	1.95968072211398	17.0469156662988	chr2R	7520898	7535330	14433	+	0	0	0	115	153	141	0.00%	0.00%	0.00%	7.22%	7.74%	8.19%	-0.0771666666666667
Cyt-b5	chr2R_+_7520898_7533730_7535330	3_Junction_100767_Junction_100799	J002	0.00110600984973486	279.531842702185	9.49764698529744e-63	4.58579604557743e-61	3.0343978526643	3.03184509179002	-0.00848795276682601	chr2R	7533730	7535330	1601	+	745	677	836	1477	1825	1580	100.00%	100.00%	100.00%	92.78%	92.26%	91.81%	0.0771666666666665
CG43340	chr2R_+_7623293_7624509_7626489	3_Junction_101124_Junction_101127	J001	0.0114908095689209	5.65212052067028	0.0174342773592162	0.0336656065235788	0.847034986715698	1.06500966177739	0.815531230965568	chr2R	7623293	7626489	3197	+	9	7	13	10	5	6	37.50%	38.89%	25.49%	66.67%	55.56%	42.86%	-0.2107
CG43340	chr2R_+_7623293_7624509_7626489	3_Junction_101124_Junction_101127	J002	0.0098463390301999	5.75983327605276	0.016396627635499	0.0318320460300308	1.15227826704128	0.981726372102498	-0.620113952469032	chr2R	7624509	7626489	1981	+	15	11	38	5	4	8	62.50%	61.11%	74.51%	33.33%	44.44%	57.14%	0.2107
CG43340	chr2R_+_7627172_7630328_7634214	3_Junction_101135_Junction_101139	J001	0.0144666115109069	7.80110181496061	0.00522143859732115	0.0111099534192089	1.31503846469912	1.21946205643101	-0.33568039142317	chr2R	7627172	7634214	7043	+	33	24	34	10	14	8	91.67%	88.89%	97.14%	66.67%	93.33%	61.54%	0.1872
CG43340	chr2R_+_7627172_7630328_7634214	3_Junction_101135_Junction_101139	J002	0.0396396980942433	6.95836298810188	0.00834283314055249	0.0171153934900195	0.401476533807806	0.805055207428003	1.82404020161322	chr2R	7630328	7634214	3887	+	3	3	1	5	1	5	8.33%	11.11%	2.86%	33.33%	6.67%	38.46%	-0.1872
