Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.SRPK1	raw_count.SRPK2	raw_count.SRPK3	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.SRPK1	percentage_usage.SRPK2	percentage_usage.SRPK3	deltaPSI
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100205_Junction_100232	J001	0.119722578023973	15.4811087430034	8.33339745075906e-05	0.00110631491141602	0.0535326409999008	4.35612191340562	12.7678282799608	chr3L	21862131	21888632	26502	+	0	0	0	5	8	12	0.00%	0.00%	0.00%	29.41%	34.78%	60.00%	-0.413966666666667
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100205_Junction_100232	J002	0.0928516431673486	16.5321614232304	4.78318434923909e-05	0.000691908457058025	5.40361142801005	5.0672831314935	-0.19918490000279	chr3L	21879941	21888632	8692	+	5	9	14	12	15	8	100.00%	100.00%	100.00%	70.59%	65.22%	40.00%	0.413966666666667
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100208_Junction_100223_Junction_100235_Junction_100250_Junction_100255	J001	0.0331671458488588	24.2497304876662	8.46189230935092e-07	1.85973460090665e-05	0.040173301170924	4.49784221273721	13.6934984255542	chr3L	21862131	21907344	45214	+	0	0	0	7	7	11	0.00%	0.00%	0.00%	3.93%	4.00%	6.01%	-0.0464666666666667
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100208_Junction_100223_Junction_100235_Junction_100250_Junction_100255	J002	0.0242735965048323	0.527795557069126	0.467535130310843	0.725358618260171	3.49033056189516	4.0390716959407	0.437581022454292	chr3L	21872115	21907344	35230	+	5	1	6	6	7	7	3.88%	0.78%	3.55%	3.37%	4.00%	3.83%	-0.00996666666666666
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100208_Junction_100223_Junction_100235_Junction_100250_Junction_100255	J003	0.0191177637788168	1.60866014148924	0.204680247217171	0.468485248069806	14.4617370679253	14.2350107759756	-0.0688834640295557	chr3L	21879941	21907344	27404	+	95	111	134	130	132	140	73.64%	86.72%	79.29%	73.03%	75.43%	76.50%	0.0489666666666667
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100208_Junction_100223_Junction_100235_Junction_100250_Junction_100255	J004	0.17984345997781	1.93151373173433	0.164592930148575	0.411884434517526	2.97428043483432	4.23521533649971	1.05558375820131	chr3L	21888692	21907344	18653	+	0	1	8	6	8	8	0.00%	0.78%	4.73%	3.37%	4.57%	4.37%	-0.0226666666666667
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	3_Junction_100208_Junction_100223_Junction_100235_Junction_100250_Junction_100255	J005	0.0472123270820271	0.562626033184728	0.453204104769498	0.715163962875819	7.66376286952906	7.04929728879412	-0.275980340669631	chr3L	21902996	21907344	4349	+	29	15	21	29	21	17	22.48%	11.72%	12.43%	16.29%	12.00%	9.29%	0.0301666666666667
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	5_Junction_100205_Junction_100208	J001	0.052678714452497	3.14099153229108e-05	0.995528315330312	1	0.423462151492847	0.423673157982927	0.00143810868544225	chr3L	21862131	21888632	26502	+	0	0	0	5	8	12	INF	INF	INF	41.67%	53.33%	52.17%	Inf
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	5_Junction_100205_Junction_100208	J002	0.0528378853165667	3.15759280802297e-05	0.995516513792818	1	0.423459008775906	0.423247893939095	-0.0014395744129363	chr3L	21862131	21907344	45214	+	0	0	0	7	7	11	INF	INF	INF	58.33%	46.67%	47.83%	Inf
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	5_Junction_100232_Junction_100235	J001	0.0198276155376386	0.0443255282188062	0.833249133192943	0.938031325075753	5.18196133096825	5.3020216545814	0.0710072882156134	chr3L	21879941	21888632	8692	+	5	9	14	12	15	8	5.00%	7.50%	9.46%	8.45%	10.20%	5.41%	-0.00699999999999999
