Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.SRPK1	raw_count.SRPK2	raw_count.SRPK3	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.SRPK1	percentage_usage.SRPK2	percentage_usage.SRPK3	deltaPSI
Ten-m	chr3L_-_22340641_22350098_22358388_22381081_22399730_22406890	3_Junction_100814_Junction_100824_Junction_100830_Junction_100844_Junction_100849	J001	0.00712667579815107	4.51163600451561	0.0336650259407833	0.143747087501619	13.2141212738732	13.7271292645689	0.159925775693147	chr3L	22340641	22406890	66250	-	106	82	112	87	122	106	79.10%	75.93%	80.58%	87.00%	85.92%	83.46%	-0.0692333333333331
Ten-m	chr3L_-_22340641_22350098_22358388_22381081_22399730_22406890	3_Junction_100814_Junction_100824_Junction_100830_Junction_100844_Junction_100849	J002	0.0218575462479032	6.33253390382099	0.0118542829877934	0.0660592464797741	5.24236196736622	3.50702526327821	-1.21951218675879	chr3L	22350098	22406890	56793	-	9	13	10	4	4	5	6.72%	12.04%	7.19%	4.00%	2.82%	3.94%	0.0506333333333333
Ten-m	chr3L_-_22340641_22350098_22358388_22381081_22399730_22406890	3_Junction_100814_Junction_100824_Junction_100830_Junction_100844_Junction_100849	J003	0.0249884894755996	1.15231297345386	0.283065486248648	0.56081449196914	3.64850758079132	2.93346180413644	-0.647960348996617	chr3L	22358388	22406890	48503	-	6	4	5	2	3	4	4.48%	3.70%	3.60%	2.00%	2.11%	3.15%	0.0150666666666667
Ten-m	chr3L_-_22340641_22350098_22358388_22381081_22399730_22406890	3_Junction_100814_Junction_100824_Junction_100830_Junction_100844_Junction_100849	J004	0.0233688352479034	0.143289259088704	0.705032695243266	0.875678508335967	3.97392526313807	4.31689093553106	0.250028723725666	chr3L	22381081	22406890	25810	-	7	3	8	3	8	9	5.22%	2.78%	5.76%	3.00%	5.63%	7.09%	-0.00653333333333333
Ten-m	chr3L_-_22340641_22350098_22358388_22381081_22399730_22406890	3_Junction_100814_Junction_100824_Junction_100830_Junction_100844_Junction_100849	J005	0.0247162000390551	0.39131236634114	0.531610371814582	0.771581116493129	3.7711705944428	3.37151223827739	-0.33447683430548	chr3L	22399730	22406890	7161	-	6	6	4	4	5	3	4.48%	5.56%	2.88%	4.00%	3.52%	2.36%	0.0101333333333333
NONE	chr3L_-_22998452_23000376_23002008	3_Junction_101904_Junction_101909	J001	0.350193989940359	4.192304785239	0.0406078543476347	0.163831512349834	2.07198288015177	3.92788509207192	1.88941006197123	chr3L	22998452	23002008	3557	-	2	1	3	6	0	7	28.57%	7.69%	15.79%	75.00%	0.00%	77.78%	-0.335766666666667
NONE	chr3L_-_22998452_23000376_23002008	3_Junction_101904_Junction_101909	J002	0.295160623681516	4.74326208990562	0.029413248652342	0.130786388370283	4.77024089248354	3.08345448614028	-1.31111375266946	chr3L	23000376	23002008	1633	-	5	12	16	2	4	2	71.43%	92.31%	84.21%	25.00%	100.00%	22.22%	0.335766666666667
lncRNA:CR40053	chr3L_-_24009835_24009929_24011160_24011178_24011231	3_Junction_102972_Junction_102973_Junction_102976_Junction_102977	J001	0.0210075061528389	100.713102887044	1.06319909720205e-23	1.41409882408606e-21	5.76974003124537	11.679132469101	2.4259274163498	chr3L	24009835	24011231	1397	-	27	16	20	52	42	32	16.67%	13.45%	10.93%	73.24%	60.00%	72.73%	-0.549733333333333
lncRNA:CR40053	chr3L_-_24009835_24009929_24011160_24011178_24011231	3_Junction_102972_Junction_102973_Junction_102976_Junction_102977	J002	0.0688016721760972	13.1092440618634	0.000293842232589931	0.00324565317465779	2.48600643629968	5.61750653710019	2.45182420108585	chr3L	24009929	24011231	1303	-	5	1	5	4	11	7	3.09%	0.84%	2.73%	5.63%	15.71%	15.91%	-0.101966666666667
lncRNA:CR40053	chr3L_-_24009835_24009929_24011160_24011178_24011231	3_Junction_102972_Junction_102973_Junction_102976_Junction_102977	J003	0.0126433652312204	135.141898190755	3.07396199044677e-31	6.56061103748475e-29	12.0070582543039	7.00262051775059	-1.91462718010374	chr3L	24011160	24011231	72	-	124	93	151	15	16	5	76.54%	78.15%	82.51%	21.13%	22.86%	11.36%	0.606166666666667
lncRNA:CR40053	chr3L_-_24009835_24009929_24011160_24011178_24011231	3_Junction_102972_Junction_102973_Junction_102976_Junction_102977	J004	0.0472662940186535	7.88087288342346	0.00499603602724826	0.033674025477072	3.51690254545506	1.2464058110067	-3.03579647455571	chr3L	24011178	24011231	54	-	6	9	7	0	1	0	3.70%	7.56%	3.83%	0.00%	1.43%	0.00%	0.0455333333333333
