Gene	AS_event_ID	chromosome	strand	common_3_SS_coor	A5SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
CG4972	chr2L_+_10308643_10315073_10315343	chr2L	+	10315343	10308643;10315073	0.00189113316803879	0.0154784859553751	-0.0087;0.00870000000000004
CG7414	chr3L_+_21826752_21827035_21827092	chr3L	+	21827092	21826752;21827035	1.22331298808582e-10	5.05056874470572e-09	-0.0782999999999999;0.0783000000000001
CG32305	chr3L_+_2248922_2249322_2249455	chr3L	+	2249455	2248922;2249322	0.0208288263835132	0.101769442934535	-0.258266666666667;0.258266666666667
slif	chr3L_+_22881398_22889395_22891363	chr3L	+	22891363	22881398;22889395	0.00952170656564421	0.0557986282868106	-0.0212;0.0212
NONE	chr3L_+_23311344_23311621_23315490	chr3L	+	23315490	23311344;23311621	0.0475809922685123	0.182737521630986	0.295766666666667;-0.295766666666667
Snap25	chr3L_+_24131237_24188646_24210019	chr3L	+	24210019	24131237;24188646	1.28697662528702e-06	2.73024508077978e-05	0.8783;-0.8783
nvd	chr3L_+_24338290_24348268_24348327	chr3L	+	24348327	24338290;24348268	0.00326647971754591	0.0240401020484362	-0.1312;0.1312
CG1146	chr3L_+_2488906_2489009_2490488_2490630_2490732_2490847_2490896_2490978	chr3L	+	2490978	2488906;2489009;2490488;2490630;2490732;2490847;2490896	0.0035660640992736	0.0257129656288246	0.00303333333333333;-0.00840000000000001;-0.00636666666666667;0.00963333333333333;0.00116666666666667;-0.00886666666666658;0.00996666666666666
miple2	chr3L_+_268960_271791_273390_273548	chr3L	+	273548	268960;271791;273390	5.68261142750091e-05	0.000798636273712724	-0.0476333333333333;0.0344333333333333;0.0132
Dbp80	chr3L_+_27381088_27420460_27420677	chr3L	+	27420677	27381088;27420460	5.04135352951229e-05	0.000722260464070917	-0.0171999999999999;0.0172
Shab	chr3L_+_2897429_2922777_2923554	chr3L	+	2923554	2897429;2922777	0.00245733103625607	0.0191370351679144	-0.3021;0.3021
CG2162	chr3L_+_3035364_3036070_3036199_3036489	chr3L	+	3036489	3035364;3036070;3036199	0.0163040983684334	0.0844602518576347	-0.0483666666666669;-0.00536666666666668;0.0537333333333333
Jafrac2	chr3L_+_3042450_3042772_3042850_3043043	chr3L	+	3043043	3042450;3042772;3042850	2.15562555352785e-09	7.30762750312309e-08	-0.0210666666666667;-0.0120666666666668;0.0332333333333333
Jafrac2	chr3L_+_3043201_3043205_3043270	chr3L	+	3043270	3043201;3043205	0.0128343135202201	0.0702170954566903	-0.00303333333333333;0.00303333333333333
PAN3	chr3L_+_3073478_3078044_3082227_3083202_3083731	chr3L	+	3083731	3073478;3078044;3082227;3083202	0.000515676369248694	0.00521776116505046	-0.142566666666667;0.0226;0.0276;0.0923666666666667
eIF1	chr3L_+_3223526_3223649_3223768	chr3L	+	3223768	3223526;3223649	8.31358046336115e-05	0.00110414042287944	0.00403333333333344;-0.00403333333333333
Larp4B	chr3L_+_3225288_3225833_3226193_3226539_3226875	chr3L	+	3226875	3225288;3225833;3226193;3226539	0.0362232074894184	0.151252198396342	-0.00150000000000006;-0.0064;0.0158;-0.00796666666666662
ZnT63C	chr3L_+_3304665_3309927_3310518	chr3L	+	3310518	3304665;3309927	0.000881301382321403	0.00824691488465953	-0.0813666666666666;0.0813666666666667
CG46463	chr3L_+_3461670_3462068_3462119	chr3L	+	3462119	3461670;3462068	0.0183630709650363	0.0925878692304292	0.0236;-0.0236
CG42324	chr3L_+_3472707_3485743_3485842	chr3L	+	3485842	3472707;3485743	0.0264833178659143	0.121141756125335	-0.238833333333333;0.238833333333333
Ptpmeg	chr3L_+_347658_347779_349345_351316_351365	chr3L	+	351365	347658;347779;349345;351316	1.18907438517253e-08	3.62885166640706e-07	0.00773333333333334;-0.0795999999999999;0.0475;0.0243
Eip63E	chr3L_+_3600491_3607304_3607396_3607500	chr3L	+	3607500	3600491;3607304;3607396	7.39751264734351e-07	1.64380356270493e-05	-0.124233333333333;0.129666666666667;-0.0054
Scsalpha1	chr3L_+_3814355_3814997_3816630	chr3L	+	3816630	3814355;3814997	0.000124260788745601	0.00155364681389766	-0.0458000000000001;0.0458
DOR	chr3L_+_4407384_4414457_4414858_4417818	chr3L	+	4417818	4407384;4414457;4414858	5.73050251102663e-05	0.000804311146626309	-0.129633333333333;0.0112999999999999;0.118333333333333
Dnah3	chr3L_+_4870261_4870270_4870328	chr3L	+	4870328	4870261;4870270	0.00640194405063337	0.0410446394966805	0.00736666666666674;-0.00736666666666667
Hipk	chr3L_+_543154_543277_546198_547480	chr3L	+	547480	543154;543277;546198	0.00331659352845203	0.0243275588273407	0.00473333333333333;-0.0418666666666667;0.0371333333333333
CG4835	chr3L_+_5439471_5479856_5479994	chr3L	+	5479994	5439471;5479856	1.89112236536427e-06	3.87273165041014e-05	-0.446233333333333;0.446233333333333
scny	chr3L_+_5769933_5771333_5771371_5771616	chr3L	+	5771616	5769933;5771333;5771371	0.000409374509426469	0.0042943546473001	-0.0277333333333335;0.0266666666666667;0.00109999999999999
CG43293	chr3L_+_6185630_6185644_6185702	chr3L	+	6185702	6185630;6185644	6.58336442027605e-22	7.9295274064723e-20	-0.685533333333333;0.685533333333333
Mp	chr3L_+_7019898_7033964_7034501	chr3L	+	7034501	7019898;7033964	0.00449318557625314	0.0309010528427447	0.1113;-0.1113
Syx5	chr2L_+_16307346_16307389_16307481	chr2L	+	16307481	16307346;16307389	0.0111092425546608	0.0628561609083993	0.167266666666667;-0.167266666666667
Sarm	chr3L_+_8072493_8079641_8093057	chr3L	+	8093057	8072493;8079641	0.0423901919082901	0.168796151886225	0.1211;-0.1211
mus301	chr3L_+_8140085_8140485_8140603	chr3L	+	8140603	8140085;8140485	0.00134365274274182	0.0117024940138933	-0.261866666666667;0.261866666666667
CG7120	chr3L_+_8396185_8398364_8398985	chr3L	+	8398985	8396185;8398364	0.048986223718719	0.186451238174797	-0.1059;0.1059
Tpr2	chr2L_+_16492051_16497151_16505494	chr2L	+	16505494	16492051;16497151	8.06090896055769e-06	0.000141741531525364	-0.0393333333333334;0.0393333333333333
Zasp66	chr3L_+_8627730_8628546_8630635_8634581	chr3L	+	8634581	8627730;8628546;8630635	0.00839395994926217	0.0507468832204547	-0.154233333333333;0.0586;0.0956999999999999
CG6511	chr3L_+_8721271_8721337_8721344_8721397	chr3L	+	8721397	8721271;8721337;8721344	0.00369196753701692	0.0264409906962657	-0.146866666666667;-0.0884;0.235266666666667
Usp10	chr3L_+_875199_888110_888170_888245_888295	chr3L	+	888295	875199;888110;888170;888245	0.000340615096433979	0.0036695378852952	-0.0567333333333333;0.0100666666666667;0.0208333333333333;0.0258333333333333
CG16717	chr3L_+_9679466_9679653_9679839_9679898	chr3L	+	9679898	9679466;9679653;9679839	0.00323132758476285	0.0238278470020874	-0.165966666666667;0.1431;0.0228333333333333
CG43897	chr3L_+_9824640_9830069_9830632	chr3L	+	9830632	9824640;9830069	0.0482305240004254	0.184376021587123	-0.0403333333333334;0.0403333333333333
ATPsynepsilonL	chr3R_+_10121797_10121805_10121870	chr3R	+	10121870	10121797;10121805	1.36345474587768e-07	3.47027323018731e-06	0.1378;-0.1378
Invadolysin	chr3R_+_10144895_10145532_10154222	chr3R	+	10154222	10144895;10145532	0.000383464919159829	0.00406370337706146	-0.0185666666666667;0.0185666666666667
CG42795	chr3R_+_10226153_10228653_10239616	chr3R	+	10239616	10226153;10228653	0.04574033623929	0.17768319332959	0.0293000000000001;-0.0293
jumu	chr3R_+_10349607_10350587_10358097	chr3R	+	10358097	10349607;10350587	0.00502224810570528	0.0338191027839217	-0.0546;0.0546
Cap-H2	chr3R_+_10765774_10765893_10765967_10766026	chr3R	+	10766026	10765774;10765893;10765967	1.45874486307909e-09	5.08195383671713e-08	-0.3162;0.221633333333333;0.0946
cu	chr3R_+_11197848_11204831_11206625_11206904	chr3R	+	11206904	11197848;11204831;11206625	1.23976056483208e-05	0.000209257641737723	-0.120366666666667;0.187233333333333;-0.0668333333333334
CG5214	chr3R_+_11244020_11244516_11244566_11244662_11244785	chr3R	+	11244785	11244020;11244516;11244566;11244662	0.0159061869583009	0.0829945871010568	-0.00133333333333333;0.00370000000000004;-0.00153333333333333;-0.000866666666666667
pros	chr3R_+_11370292_11370866_11371311	chr3R	+	11371311	11370292;11370866	4.13073703588698e-05	0.000609188884119411	-0.424033333333333;0.424033333333333
CG17230	chr3R_+_11438099_11463759_11464025	chr3R	+	11464025	11438099;11463759	2.10112235554812e-10	8.38373920762528e-09	-0.142333333333333;0.142333333333333
Desat1	chr3R_+_12439711_12441608_12443692_12444137_12444797	chr3R	+	12444797	12439711;12441608;12443692;12444137	0.0238572010479873	0.112410917744151	-0.0164666666666666;-0.0223;0.000933333333333335;0.0377999999999999
Desat1	chr3R_+_12445118_12445889_12445976	chr3R	+	12445976	12445118;12445889	0.02046151246147	0.100341070384526	-0.00229999999999997;0.0023
CG14395	chr3R_+_12664244_12666897_12668449	chr3R	+	12668449	12664244;12666897	1.18790633539978e-10	4.91702905234647e-09	0.8297;-0.8297
CtBP	chr3R_+_13011748_13012019_13018876_13019340	chr3R	+	13019340	13011748;13012019;13018876	2.59782697286487e-05	0.000406446669663449	-0.0506333333333334;-0.0359;0.0865
timeout	chr3R_+_13109621_13111415_13114138	chr3R	+	13114138	13109621;13111415	0.000747460185617945	0.0071732282318916	-0.2112;0.2112
CG32473	chr3R_+_13308904_13309266_13309320_13309361_13309467	chr3R	+	13309467	13308904;13309266;13309320;13309361	0.000174989604574472	0.00208368993280234	-0.0196666666666667;0.0921333333333333;0.0141666666666667;-0.0865999999999999
tweek	chr2L_+_16904131_16904143_16904235	chr2L	+	16904235	16904131;16904143	0.00071397382511915	0.006895128156867	0.1834;-0.1834
Cyp6d5	chr3R_+_14014289_14029813_14030130	chr3R	+	14030130	14014289;14029813	0.00491909151410708	0.03322228830763	-0.00406666666666667;0.00406666666666666
red	chr3R_+_14290820_14298547_14298669_14298692_14298788	chr3R	+	14298788	14290820;14298547;14298669;14298692	9.7773161393156e-07	2.12772549493826e-05	-0.00773333333333333;-0.104566666666667;0.1392;-0.0269666666666667
Hsc70-4	chr3R_+_15242799_15242970_15243180_15244187_15244294_15244302_15244358	chr3R	+	15244358	15242799;15242970;15243180;15244187;15244294;15244302	4.46295102082195e-07	1.03690573789737e-05	0.0297333333333333;-0.0013;-0.000933333333333334;0.000566666666666667;-0.00966666666666667;-0.0183333333333333
Tm1	chr3R_+_15299347_15300180_15300745	chr3R	+	15300745	15299347;15300180	0.00332468551573276	0.0243702786645582	0.141366666666667;-0.141366666666667
nsl1	chr3R_+_15796891_15797047_15797126_15797213_15797296	chr3R	+	15797296	15796891;15797047;15797126;15797213	4.76243402137341e-06	8.8885393366371e-05	-0.168133333333333;0.0590333333333333;0.0389666666666667;0.0700666666666667
NONE	chr3R_+_15857532_15861379_15861504	chr3R	+	15861504	15857532;15861379	0.000283116358466893	0.00314013777352757	-0.129633333333333;0.129633333333333
Myo81F	chr3R_+_1588538_1846163_1861192	chr3R	+	1861192	1588538;1846163	2.63158459772373e-07	6.37224372945233e-06	-0.645466666666667;0.645466666666667
Akt1	chr3R_+_16099265_16099595_16099660_16100779_16100898	chr3R	+	16100898	16099265;16099595;16099660;16100779	0.00323176835555466	0.0238278470020874	0.0845333333333333;-0.0112;-0.0919000000000001;0.0185333333333333
kuk	chr3R_+_17080356_17082027_17082210_17082306_17082507_17082662	chr3R	+	17082662	17080356;17082027;17082210;17082306;17082507	3.45795402494209e-09	1.14036152215762e-07	0.00450000000000003;-0.100266666666667;-0.0093;-0.00566666666666667;0.1107
lute	chr3R_+_17384946_17386253_17386826_17386900	chr3R	+	17386900	17384946;17386253;17386826	0.000282222949403383	0.00313130992964123	-0.0287666666666667;0.0863999999999998;-0.0576333333333333
CG7794	chr3R_+_18024396_18024401_18024460	chr3R	+	18024460	18024396;18024401	0.000164638377392973	0.0019791418417107	0.0140666666666667;-0.0140666666666667
ATPsynD	chr3R_+_19093351_19094911_19095021_19095074_19095395	chr3R	+	19095395	19093351;19094911;19095021;19095074	3.03999527420541e-05	0.000464871069769649	0.0194;0.009;0.0356;-0.0639666666666666
CG6040	chr3R_+_19113367_19117742_19123941	chr3R	+	19123941	19113367;19117742	0.0120076860044555	0.0667295789903901	0.0487333333333332;-0.0487333333333333
Cyp12a4	chr3R_+_19133880_19136440_19136500	chr3R	+	19136500	19133880;19136440	0.000105943247312339	0.00135386913677978	0.385466666666667;-0.385466666666667
Dys	chr3R_+_19463639_19463681_19464498	chr3R	+	19464498	19463639;19463681	0.0113065890417937	0.0637481645281613	-0.228033333333333;0.228033333333333
Dys	chr3R_+_19485991_19487514_19488094	chr3R	+	19488094	19485991;19487514	0.0263322151117288	0.120656763979498	-0.0572666666666666;0.0572666666666667
Indy-2	chr3R_+_20043739_20044766_20044979	chr3R	+	20044979	20043739;20044766	7.13292842649740e-12	3.41196169059285e-10	-0.00533333333333333;0.00533333333333352
Indy-2	chr3R_+_20045092_20045174_20045228	chr3R	+	20045228	20045092;20045174	0.000142062750093961	0.00173999106363892	0.0028;-0.00280000000000002
Indy-2	chr3R_+_20048334_20048339_20048401	chr3R	+	20048401	20048334;20048339	0.000537480935573683	0.00540857029796193	0.0075;-0.00750000000000006
CG42668	chr3R_+_20320451_20321413_20321474	chr3R	+	20321474	20320451;20321413	2.00298261169395e-08	5.87550712136216e-07	-0.0781666666666667;0.0781666666666667
CG5180	chr3R_+_20557734_20558051_20558242	chr3R	+	20558242	20557734;20558051	0.0431368937188723	0.170690310403084	0.0235333333333333;-0.0235333333333334
bon	chr3R_+_20608535_20608553_20608630	chr3R	+	20608630	20608535;20608553	0.00933887437376331	0.0550301438859777	0.0963666666666666;-0.0963666666666667
Synd	chr3R_+_20832873_20834465_20835223	chr3R	+	20835223	20832873;20834465	2.47202373408705e-05	0.000388466919524184	-0.0798666666666666;0.0798666666666667
Atpalpha	chr3R_+_20967202_20968486_20973171	chr3R	+	20973171	20967202;20968486	0.000583486738852315	0.00579795384232197	-0.0615999999999998;0.0616
Cnot4	chr2L_+_10396921_10396982_10397194_10397647_10398033	chr2L	+	10398033	10396921;10396982;10397194;10397647	0.00497076231228709	0.033521597911362	-0.0459;0.0737333333333333;-0.0159666666666667;-0.0118666666666667
Rab11	chr3R_+_21111855_21113536_21113944	chr3R	+	21113944	21111855;21113536	1.24236715431888e-08	3.78250750524166e-07	-0.0728666666666667;0.0728666666666667
SNF4Agamma	chr3R_+_21155387_21175633_21178276	chr3R	+	21178276	21155387;21175633	8.75268760075283e-05	0.00114985972220851	-0.203233333333333;0.203233333333333
SNF4Agamma	chr3R_+_21185584_21202330_21202450	chr3R	+	21202450	21185584;21202330	0.0074311500826713	0.046148328985298	-0.0646333333333335;0.0646333333333333
Sar1	chr3R_+_22356744_22356749_22356767_22356798_22357529	chr3R	+	22357529	22356744;22356749;22356767;22356798	0.0347242125482431	0.146948135765787	-0.000466666666666669;0.00793333333333324;0.0096;-0.0170666666666667
PyK	chr3R_+_22367668_22368865_22369565_22370776	chr3R	+	22370776	22367668;22368865;22369565	0.00269409712588894	0.0205548092000275	0.0800666666666666;-0.0016;-0.0785333333333333
CG7059	chr3R_+_22389752_22390073_22390078_22390104_22390202_22390462_22390719_22391192	chr3R	+	22391192	22389752;22390073;22390078;22390104;22390202;22390462;22390719	2.50890004594512e-09	8.42520898335392e-08	0.002;0.0558333333333333;0.00256666666666667;0.0137666666666667;-0.051;-0.00326666666666667;-0.0200333333333333
tHMG2	chr3R_+_22492294_22493018_22493129_22493261	chr3R	+	22493261	22492294;22493018;22493129	6.02002765639249e-10	2.23286718634128e-08	-0.120433333333333;0.100433333333333;0.0200333333333333
rdo	chr2L_+_18013032_18026720_18026953	chr2L	+	18026953	18013032;18026720	0.00262404841618933	0.0201544110837421	0.167366666666667;-0.167366666666667
CG31140	chr3R_+_23978115_23978211_23978948	chr3R	+	23978948	23978115;23978211	0.00115263739311639	0.0103316002192256	-0.228066666666667;0.228066666666667
cav	chr3R_+_24221512_24221626_24221753_24221777_24221925_24222341	chr3R	+	24222341	24221512;24221626;24221753;24221777;24221925	0.000188096152532533	0.00221430913227826	-0.023;0.0712666666666668;-0.0329666666666667;-0.0123333333333333;-0.0029
lncRNA:CR44092	chr3R_+_24229889_24230648_24231009_24231162_24231653	chr3R	+	24231653	24229889;24230648;24231009;24231162	0.00119473209554907	0.0106376693763226	-0.0465;0.1309;-0.111633333333333;0.0272333333333333
CG31128	chr3R_+_24469708_24469712_24469761	chr3R	+	24469761	24469708;24469712	0.0208261322285964	0.101764019205694	-0.00249999999999995;0.0025
